Codepoint,Property,Description
0C92-0CA8,PVALID,KANNADA LETTER O..KANNADA LETTER NA
0CA9,UNASSIGNED,<RESERVED>
0CAA-0CB3,PVALID,KANNADA LETTER PA..KANNADA LETTER LLA
0CB4,UNASSIGNED,<RESERVED>
0CB5-0CB9,PVALID,KANNADA LETTER VA..KANNADA LETTER HA
0CBA-0CBB,UNASSIGNED,<RESERVED>..<RESERVED>
0CBC-0CC4,PVALID,KANNADA SIGN NUKTA..KANNADA VOWEL SIGN VOCALIC RR
0CC5,UNASSIGNED,<RESERVED>
0CC6-0CC8,PVALID,KANNADA VOWEL SIGN E..KANNADA VOWEL SIGN AI
0CC9,UNASSIGNED,<RESERVED>
0CCA-0CCD,PVALID,KANNADA VOWEL SIGN O..KANNADA SIGN VIRAMA
0CCE-0CD4,UNASSIGNED,<RESERVED>..<RESERVED>
0CD5-0CD6,PVALID,KANNADA LENGTH MARK..KANNADA AI LENGTH MARK
0CD7-0CDB,UNASSIGNED,<RESERVED>..<RESERVED>
0CDC-0CDE,PVALID,KANNADA ARCHAIC SHRII..KANNADA LETTER FA
0CDF,UNASSIGNED,<RESERVED>
0CE0-0CE3,PVALID,KANNADA LETTER VOCALIC RR..KANNADA VOWEL SIGN VOCALIC LL
0CE4-0CE5,UNASSIGNED,<RESERVED>..<RESERVED>
0CE6-0CEF,PVALID,KANNADA DIGIT ZERO..KANNADA DIGIT NINE
0CF0,UNASSIGNED,<RESERVED>
0CF1-0CF3,PVALID,KANNADA SIGN JIHVAMULIYA..KANNADA SIGN COMBINING ANUSVARA ABOVE RIGHT
0CF4-0CFF,UNASSIGNED,<RESERVED>..<RESERVED>
0D00-0D0C,PVALID,MALAYALAM SIGN COMBINING ANUSVARA ABOVE..MALAYALAM LETTER VOCALIC L
0D0D,UNASSIGNED,<RESERVED>
0D0E-0D10,PVALID,MALAYALAM LETTER E..MALAYALAM LETTER AI
0D11,UNASSIGNED,<RESERVED>
0D12-0D44,PVALID,MALAYALAM LETTER O..MALAYALAM VOWEL SIGN VOCALIC RR
0D45,UNASSIGNED,<RESERVED>
0D46-0D48,PVALID,MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN AI
0D49,UNASSIGNED,<RESERVED>
0D4A-0D4E,PVALID,MALAYALAM VOWEL SIGN O..MALAYALAM LETTER DOT REPH
0D4F,ID_DIS or FREE_PVAL,MALAYALAM SIGN PARA
0D50-0D53,UNASSIGNED,<RESERVED>..<RESERVED>
0D54-0D57,PVALID,MALAYALAM LETTER CHILLU M..MALAYALAM AU LENGTH MARK
0D58-0D5E,ID_DIS or FREE_PVAL,MALAYALAM FRACTION ONE ONE-HUNDRED-AND-SIXTIETH..MALAYALAM FRACTION ONE FIFTH
0D5F-0D63,PVALID,MALAYALAM LETTER ARCHAIC II..MALAYALAM VOWEL SIGN VOCALIC LL
0D64-0D65,UNASSIGNED,<RESERVED>..<RESERVED>
0D66-0D6F,PVALID,MALAYALAM DIGIT ZERO..MALAYALAM DIGIT NINE
0D70-0D79,ID_DIS or FREE_PVAL,MALAYALAM NUMBER TEN..MALAYALAM DATE MARK
0D7A-0D7F,PVALID,MALAYALAM LETTER CHILLU NN..MALAYALAM LETTER CHILLU K
0D80,UNASSIGNED,<RESERVED>
0D81-0D83,PVALID,SINHALA SIGN CANDRABINDU..SINHALA SIGN VISARGAYA
0D84,UNASSIGNED,<RESERVED>
0D85-0D96,PVALID,SINHALA LETTER AYANNA..SINHALA LETTER AUYANNA
0D97-0D99,UNASSIGNED,<RESERVED>..<RESERVED>
0D9A-0DB1,PVALID,SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA LETTER DANTAJA NAYANNA
0DB2,UNASSIGNED,<RESERVED>
0DB3-0DBB,PVALID,SINHALA LETTER SANYAKA DAYANNA..SINHALA LETTER RAYANNA
0DBC,UNASSIGNED,<RESERVED>
0DBD,PVALID,SINHALA LETTER DANTAJA LAYANNA
0DBE-0DBF,UNASSIGNED,<RESERVED>..<RESERVED>
0DC0-0DC6,PVALID,SINHALA LETTER VAYANNA..SINHALA LETTER FAYANNA
0DC7-0DC9,UNASSIGNED,<RESERVED>..<RESERVED>
0DCA,PVALID,SINHALA SIGN AL-LAKUNA
0DCB-0DCE,UNASSIGNED,<RESERVED>..<RESERVED>
0DCF-0DD4,PVALID,SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD5,UNASSIGNED,<RESERVED>
0DD6,PVALID,SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD7,UNASSIGNED,<RESERVED>
0DD8-0DDF,PVALID,SINHALA VOWEL SIGN GAETTA-PILLA..SINHALA VOWEL SIGN GAYANUKITTA
0DE0-0DE5,UNASSIGNED,<RESERVED>..<RESERVED>
0DE6-0DEF,PVALID,SINHALA LITH DIGIT ZERO..SINHALA LITH DIGIT NINE
0DF0-0DF1,UNASSIGNED,<RESERVED>..<RESERVED>
0DF2-0DF3,PVALID,SINHALA VOWEL SIGN DIGA GAETTA-PILLA..SINHALA VOWEL SIGN DIGA GAYANUKITTA
0DF4,ID_DIS or FREE_PVAL,SINHALA PUNCTUATION KUNDDALIYA
0DF5-0E00,UNASSIGNED,<RESERVED>..<RESERVED>
0E01-0E32,PVALID,THAI CHARACTER KO KAI..THAI CHARACTER SARA AA
0E33,ID_DIS or FREE_PVAL,THAI CHARACTER SARA AM
0E34-0E3A,PVALID,THAI CHARACTER SARA I..THAI CHARACTER PHINTHU
0E3B-0E3E,UNASSIGNED,<RESERVED>..<RESERVED>
0E3F,ID_DIS or FREE_PVAL,THAI CURRENCY SYMBOL BAHT
0E40-0E4E,PVALID,THAI CHARACTER SARA E..THAI CHARACTER YAMAKKAN
0E4F,ID_DIS or FREE_PVAL,THAI CHARACTER FONGMAN
0E50-0E59,PVALID,THAI DIGIT ZERO..THAI DIGIT NINE
0E5A-0E5B,ID_DIS or FREE_PVAL,THAI CHARACTER ANGKHANKHU..THAI CHARACTER KHOMUT
0E5C-0E80,UNASSIGNED,<RESERVED>..<RESERVED>
0E81-0E82,PVALID,LAO LETTER KO..LAO LETTER KHO SUNG
0E83,UNASSIGNED,<RESERVED>
0E84,PVALID,LAO LETTER KHO TAM
0E85,UNASSIGNED,<RESERVED>
0E86-0E8A,PVALID,LAO LETTER PALI GHA..LAO LETTER SO TAM
0E8B,UNASSIGNED,<RESERVED>
0E8C-0EA3,PVALID,LAO LETTER PALI JHA..LAO LETTER LO LING
0EA4,UNASSIGNED,<RESERVED>
0EA5,PVALID,LAO LETTER LO LOOT
0EA6,UNASSIGNED,<RESERVED>
0EA7-0EB2,PVALID,LAO LETTER WO..LAO VOWEL SIGN AA
0EB3,ID_DIS or FREE_PVAL,LAO VOWEL SIGN AM
0EB4-0EBD,PVALID,LAO VOWEL SIGN I..LAO SEMIVOWEL SIGN NYO
0EBE-0EBF,UNASSIGNED,<RESERVED>..<RESERVED>
0EC0-0EC4,PVALID,LAO VOWEL SIGN E..LAO VOWEL SIGN AI
0EC5,UNASSIGNED,<RESERVED>
0EC6,PVALID,LAO KO LA
0EC7,UNASSIGNED,<RESERVED>
0EC8-0ECE,PVALID,LAO TONE MAI EK..LAO YAMAKKAN
0ECF,UNASSIGNED,<RESERVED>
0ED0-0ED9,PVALID,LAO DIGIT ZERO..LAO DIGIT NINE
0EDA-0EDB,UNASSIGNED,<RESERVED>..<RESERVED>
0EDC-0EDD,ID_DIS or FREE_PVAL,LAO HO NO..LAO HO MO
0EDE-0EDF,PVALID,LAO LETTER KHMU GO..LAO LETTER KHMU NYO
0EE0-0EFF,UNASSIGNED,<RESERVED>..<RESERVED>
0F00,PVALID,TIBETAN SYLLABLE OM
0F01-0F0A,ID_DIS or FREE_PVAL,TIBETAN MARK GTER YIG MGO TRUNCATED A..TIBETAN MARK BKA- SHOG YIG MGO
0F0B,PVALID,TIBETAN MARK INTERSYLLABIC TSHEG
0F0C-0F17,ID_DIS or FREE_PVAL,TIBETAN MARK DELIMITER TSHEG BSTAR..TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS
0F18-0F19,PVALID,TIBETAN ASTROLOGICAL SIGN -KHYUD PA..TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS
0F1A-0F1F,ID_DIS or FREE_PVAL,TIBETAN SIGN RDEL DKAR GCIG..TIBETAN SIGN RDEL DKAR RDEL NAG
0F20-0F29,PVALID,TIBETAN DIGIT ZERO..TIBETAN DIGIT NINE
0F2A-0F34,ID_DIS or FREE_PVAL,TIBETAN DIGIT HALF ONE..TIBETAN MARK BSDUS RTAGS
0F35,PVALID,TIBETAN MARK NGAS BZUNG NYI ZLA
0F36,ID_DIS or FREE_PVAL,TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN
0F37,PVALID,TIBETAN MARK NGAS BZUNG SGOR RTAGS
0F38,ID_DIS or FREE_PVAL,TIBETAN MARK CHE MGO
0F39,PVALID,TIBETAN MARK TSA -PHRU
0F3A-0F3D,ID_DIS or FREE_PVAL,TIBETAN MARK GUG RTAGS GYON..TIBETAN MARK ANG KHANG GYAS
0F3E-0F42,PVALID,TIBETAN SIGN YAR TSHES..TIBETAN LETTER GA
0F43,ID_DIS or FREE_PVAL,TIBETAN LETTER GHA
0F44-0F47,PVALID,TIBETAN LETTER NGA..TIBETAN LETTER JA
0F48,UNASSIGNED,<RESERVED>
0F49-0F4C,PVALID,TIBETAN LETTER NYA..TIBETAN LETTER DDA
0F4D,ID_DIS or FREE_PVAL,TIBETAN LETTER DDHA
0F4E-0F51,PVALID,TIBETAN LETTER NNA..TIBETAN LETTER DA
0F52,ID_DIS or FREE_PVAL,TIBETAN LETTER DHA
0F53-0F56,PVALID,TIBETAN LETTER NA..TIBETAN LETTER BA
0F57,ID_DIS or FREE_PVAL,TIBETAN LETTER BHA
0F58-0F5B,PVALID,TIBETAN LETTER MA..TIBETAN LETTER DZA
0F5C,ID_DIS or FREE_PVAL,TIBETAN LETTER DZHA
0F5D-0F68,PVALID,TIBETAN LETTER WA..TIBETAN LETTER A
0F69,ID_DIS or FREE_PVAL,TIBETAN LETTER KSSA
0F6A-0F6C,PVALID,TIBETAN LETTER FIXED-FORM RA..TIBETAN LETTER RRA
0F6D-0F70,UNASSIGNED,<RESERVED>..<RESERVED>
0F71-0F72,PVALID,TIBETAN VOWEL SIGN AA..TIBETAN VOWEL SIGN I
0F73,ID_DIS or FREE_PVAL,TIBETAN VOWEL SIGN II
0F74,PVALID,TIBETAN VOWEL SIGN U
0F75-0F79,ID_DIS or FREE_PVAL,TIBETAN VOWEL SIGN UU..TIBETAN VOWEL SIGN VOCALIC LL
0F7A-0F80,PVALID,TIBETAN VOWEL SIGN E..TIBETAN VOWEL SIGN REVERSED I
0F81,ID_DIS or FREE_PVAL,TIBETAN VOWEL SIGN REVERSED II
0F82-0F84,PVALID,TIBETAN SIGN NYI ZLA NAA DA..TIBETAN MARK HALANTA
0F85,ID_DIS or FREE_PVAL,TIBETAN MARK PALUTA
0F86-0F92,PVALID,TIBETAN SIGN LCI RTAGS..TIBETAN SUBJOINED LETTER GA
0F93,ID_DIS or FREE_PVAL,TIBETAN SUBJOINED LETTER GHA
0F94-0F97,PVALID,TIBETAN SUBJOINED LETTER NGA..TIBETAN SUBJOINED LETTER JA
0F98,UNASSIGNED,<RESERVED>
0F99-0F9C,PVALID,TIBETAN SUBJOINED LETTER NYA..TIBETAN SUBJOINED LETTER DDA
0F9D,ID_DIS or FREE_PVAL,TIBETAN SUBJOINED LETTER DDHA
0F9E-0FA1,PVALID,TIBETAN SUBJOINED LETTER NNA..TIBETAN SUBJOINED LETTER DA
0FA2,ID_DIS or FREE_PVAL,TIBETAN SUBJOINED LETTER DHA
0FA3-0FA6,PVALID,TIBETAN SUBJOINED LETTER NA..TIBETAN SUBJOINED LETTER BA
0FA7,ID_DIS or FREE_PVAL,TIBETAN SUBJOINED LETTER BHA
0FA8-0FAB,PVALID,TIBETAN SUBJOINED LETTER MA..TIBETAN SUBJOINED LETTER DZA
0FAC,ID_DIS or FREE_PVAL,TIBETAN SUBJOINED LETTER DZHA
0FAD-0FB8,PVALID,TIBETAN SUBJOINED LETTER WA..TIBETAN SUBJOINED LETTER A
0FB9,ID_DIS or FREE_PVAL,TIBETAN SUBJOINED LETTER KSSA
0FBA-0FBC,PVALID,TIBETAN SUBJOINED LETTER FIXED-FORM WA..TIBETAN SUBJOINED LETTER FIXED-FORM RA
0FBD,UNASSIGNED,<RESERVED>
0FBE-0FC5,ID_DIS or FREE_PVAL,TIBETAN KU RU KHA..TIBETAN SYMBOL RDO RJE
0FC6,PVALID,TIBETAN SYMBOL PADMA GDAN
0FC7-0FCC,ID_DIS or FREE_PVAL,TIBETAN SYMBOL RDO RJE RGYA GRAM..TIBETAN SYMBOL NOR BU BZHI -KHYIL
0FCD,UNASSIGNED,<RESERVED>
0FCE-0FDA,ID_DIS or FREE_PVAL,TIBETAN SIGN RDEL NAG RDEL DKAR..TIBETAN MARK TRAILING MCHAN RTAGS
0FDB-0FFF,UNASSIGNED,<RESERVED>..<RESERVED>
1000-1049,PVALID,MYANMAR LETTER KA..MYANMAR DIGIT NINE
104A-104F,ID_DIS or FREE_PVAL,MYANMAR SIGN LITTLE SECTION..MYANMAR SYMBOL GENITIVE
1050-109D,PVALID,MYANMAR LETTER SHA..MYANMAR VOWEL SIGN AITON AI
109E-109F,ID_DIS or FREE_PVAL,MYANMAR SYMBOL SHAN ONE..MYANMAR SYMBOL SHAN EXCLAMATION
10A0-10C5,PVALID,GEORGIAN CAPITAL LETTER AN..GEORGIAN CAPITAL LETTER HOE
10C6,UNASSIGNED,<RESERVED>
10C7,PVALID,GEORGIAN CAPITAL LETTER YN
10C8-10CC,UNASSIGNED,<RESERVED>..<RESERVED>
10CD,PVALID,GEORGIAN CAPITAL LETTER AEN
10CE-10CF,UNASSIGNED,<RESERVED>..<RESERVED>
10D0-10FA,PVALID,GEORGIAN LETTER AN..GEORGIAN LETTER AIN
10FB-10FC,ID_DIS or FREE_PVAL,GEORGIAN PARAGRAPH SEPARATOR..MODIFIER LETTER GEORGIAN NAR
10FD-10FF,PVALID,GEORGIAN LETTER AEN..GEORGIAN LETTER LABIAL SIGN
1100-11FF,DISALLOWED,HANGUL CHOSEONG KIYEOK..HANGUL JONGSEONG SSANGNIEUN
1200-1248,PVALID,ETHIOPIC SYLLABLE HA..ETHIOPIC SYLLABLE QWA
1249,UNASSIGNED,<RESERVED>
124A-124D,PVALID,ETHIOPIC SYLLABLE QWI..ETHIOPIC SYLLABLE QWE
124E-124F,UNASSIGNED,<RESERVED>..<RESERVED>
1250-1256,PVALID,ETHIOPIC SYLLABLE QHA..ETHIOPIC SYLLABLE QHO
1257,UNASSIGNED,<RESERVED>
1258,PVALID,ETHIOPIC SYLLABLE QHWA
1259,UNASSIGNED,<RESERVED>
125A-125D,PVALID,ETHIOPIC SYLLABLE QHWI..ETHIOPIC SYLLABLE QHWE
125E-125F,UNASSIGNED,<RESERVED>..<RESERVED>
1260-1288,PVALID,ETHIOPIC SYLLABLE BA..ETHIOPIC SYLLABLE XWA
1289,UNASSIGNED,<RESERVED>
128A-128D,PVALID,ETHIOPIC SYLLABLE XWI..ETHIOPIC SYLLABLE XWE
128E-128F,UNASSIGNED,<RESERVED>..<RESERVED>
1290-12B0,PVALID,ETHIOPIC SYLLABLE NA..ETHIOPIC SYLLABLE KWA
12B1,UNASSIGNED,<RESERVED>
12B2-12B5,PVALID,ETHIOPIC SYLLABLE KWI..ETHIOPIC SYLLABLE KWE
12B6-12B7,UNASSIGNED,<RESERVED>..<RESERVED>
12B8-12BE,PVALID,ETHIOPIC SYLLABLE KXA..ETHIOPIC SYLLABLE KXO
12BF,UNASSIGNED,<RESERVED>
12C0,PVALID,ETHIOPIC SYLLABLE KXWA
12C1,UNASSIGNED,<RESERVED>
12C2-12C5,PVALID,ETHIOPIC SYLLABLE KXWI..ETHIOPIC SYLLABLE KXWE
12C6-12C7,UNASSIGNED,<RESERVED>..<RESERVED>
12C8-12D6,PVALID,ETHIOPIC SYLLABLE WA..ETHIOPIC SYLLABLE PHARYNGEAL O
12D7,UNASSIGNED,<RESERVED>
12D8-1310,PVALID,ETHIOPIC SYLLABLE ZA..ETHIOPIC SYLLABLE GWA
1311,UNASSIGNED,<RESERVED>
1312-1315,PVALID,ETHIOPIC SYLLABLE GWI..ETHIOPIC SYLLABLE GWE
1316-1317,UNASSIGNED,<RESERVED>..<RESERVED>
1318-135A,PVALID,ETHIOPIC SYLLABLE GGA..ETHIOPIC SYLLABLE FYA
135B-135C,UNASSIGNED,<RESERVED>..<RESERVED>
135D-135F,PVALID,ETHIOPIC COMBINING GEMINATION AND VOWEL LENGTH MARK..ETHIOPIC COMBINING GEMINATION MARK
1360-137C,ID_DIS or FREE_PVAL,ETHIOPIC SECTION MARK..ETHIOPIC NUMBER TEN THOUSAND
137D-137F,UNASSIGNED,<RESERVED>..<RESERVED>
1380-138F,PVALID,ETHIOPIC SYLLABLE SEBATBEIT MWA..ETHIOPIC SYLLABLE PWE
1390-1399,ID_DIS or FREE_PVAL,ETHIOPIC TONAL MARK YIZET..ETHIOPIC TONAL MARK KURT
139A-139F,UNASSIGNED,<RESERVED>..<RESERVED>
13A0-13F5,PVALID,CHEROKEE LETTER A..CHEROKEE LETTER MV
13F6-13F7,UNASSIGNED,<RESERVED>..<RESERVED>
13F8-13FD,PVALID,CHEROKEE SMALL LETTER YE..CHEROKEE SMALL LETTER MV
13FE-13FF,UNASSIGNED,<RESERVED>..<RESERVED>
1400,ID_DIS or FREE_PVAL,CANADIAN SYLLABICS HYPHEN
1401-166C,PVALID,CANADIAN SYLLABICS E..CANADIAN SYLLABICS CARRIER TTSA
166D-166E,ID_DIS or FREE_PVAL,CANADIAN SYLLABICS CHI SIGN..CANADIAN SYLLABICS FULL STOP
166F-167F,PVALID,CANADIAN SYLLABICS QAI..CANADIAN SYLLABICS BLACKFOOT W
1680,ID_DIS or FREE_PVAL,OGHAM SPACE MARK
1681-169A,PVALID,OGHAM LETTER BEITH..OGHAM LETTER PEITH
169B-169C,ID_DIS or FREE_PVAL,OGHAM FEATHER MARK..OGHAM REVERSED FEATHER MARK
169D-169F,UNASSIGNED,<RESERVED>..<RESERVED>
16A0-16EA,PVALID,RUNIC LETTER FEHU FEOH FE F..RUNIC LETTER X
16EB-16F0,ID_DIS or FREE_PVAL,RUNIC SINGLE PUNCTUATION..RUNIC BELGTHOR SYMBOL
16F1-16F8,PVALID,RUNIC LETTER K..RUNIC LETTER FRANKS CASKET AESC
16F9-16FF,UNASSIGNED,<RESERVED>..<RESERVED>
1700-1715,PVALID,TAGALOG LETTER A..TAGALOG SIGN PAMUDPOD
1716-171E,UNASSIGNED,<RESERVED>..<RESERVED>
171F-1734,PVALID,TAGALOG LETTER ARCHAIC RA..HANUNOO SIGN PAMUDPOD
1735-1736,ID_DIS or FREE_PVAL,PHILIPPINE SINGLE PUNCTUATION..PHILIPPINE DOUBLE PUNCTUATION
1737-173F,UNASSIGNED,<RESERVED>..<RESERVED>
1740-1753,PVALID,BUHID LETTER A..BUHID VOWEL SIGN U
1754-175F,UNASSIGNED,<RESERVED>..<RESERVED>
1760-176C,PVALID,TAGBANWA LETTER A..TAGBANWA LETTER YA
176D,UNASSIGNED,<RESERVED>
176E-1770,PVALID,TAGBANWA LETTER LA..TAGBANWA LETTER SA
1771,UNASSIGNED,<RESERVED>
1772-1773,PVALID,TAGBANWA VOWEL SIGN I..TAGBANWA VOWEL SIGN U
1774-177F,UNASSIGNED,<RESERVED>..<RESERVED>
1780-17B3,PVALID,KHMER LETTER KA..KHMER INDEPENDENT VOWEL QAU
17B4-17B5,DISALLOWED,KHMER VOWEL INHERENT AQ..KHMER VOWEL INHERENT AA
17B6-17D3,PVALID,KHMER VOWEL SIGN AA..KHMER SIGN BATHAMASAT
17D4-17D6,ID_DIS or FREE_PVAL,KHMER SIGN KHAN..KHMER SIGN CAMNUC PII KUUH
17D7,PVALID,KHMER SIGN LEK TOO
17D8-17DB,ID_DIS or FREE_PVAL,KHMER SIGN BEYYAL..KHMER CURRENCY SYMBOL RIEL
17DC-17DD,PVALID,KHMER SIGN AVAKRAHASANYA..KHMER SIGN ATTHACAN
17DE-17DF,UNASSIGNED,<RESERVED>..<RESERVED>
17E0-17E9,PVALID,KHMER DIGIT ZERO..KHMER DIGIT NINE
17EA-17EF,UNASSIGNED,<RESERVED>..<RESERVED>
17F0-17F9,ID_DIS or FREE_PVAL,KHMER SYMBOL LEK ATTAK SON..KHMER SYMBOL LEK ATTAK PRAM-BUON
17FA-17FF,UNASSIGNED,<RESERVED>..<RESERVED>
1800-180A,ID_DIS or FREE_PVAL,MONGOLIAN BIRGA..MONGOLIAN NIRUGU
180B-180F,DISALLOWED,MONGOLIAN FREE VARIATION SELECTOR ONE..MONGOLIAN FREE VARIATION SELECTOR FOUR
1810-1819,PVALID,MONGOLIAN DIGIT ZERO..MONGOLIAN DIGIT NINE
181A-181F,UNASSIGNED,<RESERVED>..<RESERVED>
1820-1878,PVALID,MONGOLIAN LETTER A..MONGOLIAN LETTER CHA WITH TWO DOTS
1879-187F,UNASSIGNED,<RESERVED>..<RESERVED>
1880-18AA,PVALID,MONGOLIAN LETTER ALI GALI ANUSVARA ONE..MONGOLIAN LETTER MANCHU ALI GALI LHA
18AB-18AF,UNASSIGNED,<RESERVED>..<RESERVED>
18B0-18F5,PVALID,CANADIAN SYLLABICS OY..CANADIAN SYLLABICS CARRIER DENTAL S
18F6-18FF,UNASSIGNED,<RESERVED>..<RESERVED>
1900-191E,PVALID,LIMBU VOWEL-CARRIER LETTER..LIMBU LETTER TRA
191F,UNASSIGNED,<RESERVED>
1920-192B,PVALID,LIMBU VOWEL SIGN A..LIMBU SUBJOINED LETTER WA
192C-192F,UNASSIGNED,<RESERVED>..<RESERVED>
1930-193B,PVALID,LIMBU SMALL LETTER KA..LIMBU SIGN SA-I
193C-193F,UNASSIGNED,<RESERVED>..<RESERVED>
1940,ID_DIS or FREE_PVAL,LIMBU SIGN LOO
1941-1943,UNASSIGNED,<RESERVED>..<RESERVED>
1944-1945,ID_DIS or FREE_PVAL,LIMBU EXCLAMATION MARK..LIMBU QUESTION MARK
1946-196D,PVALID,LIMBU DIGIT ZERO..TAI LE LETTER AI
196E-196F,UNASSIGNED,<RESERVED>..<RESERVED>
1970-1974,PVALID,TAI LE LETTER TONE-2..TAI LE LETTER TONE-6
1975-197F,UNASSIGNED,<RESERVED>..<RESERVED>
1980-19AB,PVALID,NEW TAI LUE LETTER HIGH QA..NEW TAI LUE LETTER LOW SUA
19AC-19AF,UNASSIGNED,<RESERVED>..<RESERVED>
19B0-19C9,PVALID,NEW TAI LUE VOWEL SIGN VOWEL SHORTENER..NEW TAI LUE TONE MARK-2
19CA-19CF,UNASSIGNED,<RESERVED>..<RESERVED>
19D0-19D9,PVALID,NEW TAI LUE DIGIT ZERO..NEW TAI LUE DIGIT NINE
19DA,ID_DIS or FREE_PVAL,NEW TAI LUE THAM DIGIT ONE
19DB-19DD,UNASSIGNED,<RESERVED>..<RESERVED>
19DE-19FF,ID_DIS or FREE_PVAL,NEW TAI LUE SIGN LAE..KHMER SYMBOL DAP-PRAM ROC
1A00-1A1B,PVALID,BUGINESE LETTER KA..BUGINESE VOWEL SIGN AE
1A1C-1A1D,UNASSIGNED,<RESERVED>..<RESERVED>
1A1E-1A1F,ID_DIS or FREE_PVAL,BUGINESE PALLAWA..BUGINESE END OF SECTION
1A20-1A5E,PVALID,TAI THAM LETTER HIGH KA..TAI THAM CONSONANT SIGN SA
1A5F,UNASSIGNED,<RESERVED>
1A60-1A7C,PVALID,TAI THAM SIGN SAKOT..TAI THAM SIGN KHUEN-LUE KARAN
1A7D-1A7E,UNASSIGNED,<RESERVED>..<RESERVED>
1A7F-1A89,PVALID,TAI THAM COMBINING CRYPTOGRAMMIC DOT..TAI THAM HORA DIGIT NINE
1A8A-1A8F,UNASSIGNED,<RESERVED>..<RESERVED>
1A90-1A99,PVALID,TAI THAM THAM DIGIT ZERO..TAI THAM THAM DIGIT NINE
1A9A-1A9F,UNASSIGNED,<RESERVED>..<RESERVED>
1AA0-1AA6,ID_DIS or FREE_PVAL,TAI THAM SIGN WIANG..TAI THAM SIGN REVERSED ROTATED RANA
1AA7,PVALID,TAI THAM SIGN MAI YAMOK
1AA8-1AAD,ID_DIS or FREE_PVAL,TAI THAM SIGN KAAN..TAI THAM SIGN CAANG
1AAE-1AAF,UNASSIGNED,<RESERVED>..<RESERVED>
1AB0-1ABD,PVALID,COMBINING DOUBLED CIRCUMFLEX ACCENT..COMBINING PARENTHESES BELOW
1ABE,ID_DIS or FREE_PVAL,COMBINING PARENTHESES OVERLAY
1ABF-1ADD,PVALID,COMBINING LATIN SMALL LETTER W BELOW..COMBINING DOT-AND-RING BELOW
1ADE-1ADF,UNASSIGNED,<RESERVED>..<RESERVED>
1AE0-1AEB,PVALID,COMBINING LEFT TACK ABOVE..COMBINING DOUBLE RIGHTWARDS ARROW ABOVE
1AEC-1AFF,UNASSIGNED,<RESERVED>..<RESERVED>
1B00-1B4C,PVALID,BALINESE SIGN ULU RICEM..BALINESE LETTER ARCHAIC JNYA
1B4D,UNASSIGNED,<RESERVED>
1B4E-1B4F,ID_DIS or FREE_PVAL,BALINESE INVERTED CARIK SIKI..BALINESE INVERTED CARIK PAREREN
1B50-1B59,PVALID,BALINESE DIGIT ZERO..BALINESE DIGIT NINE
1B5A-1B6A,ID_DIS or FREE_PVAL,BALINESE PANTI..BALINESE MUSICAL SYMBOL DANG GEDE
1B6B-1B73,PVALID,BALINESE MUSICAL SYMBOL COMBINING TEGEH..BALINESE MUSICAL SYMBOL COMBINING GONG
1B74-1B7F,ID_DIS or FREE_PVAL,BALINESE MUSICAL SYMBOL RIGHT-HAND OPEN DUG..BALINESE PANTI BAWAK
1B80-1BF3,PVALID,SUNDANESE SIGN PANYECEK..BATAK PANONGONAN
1BF4-1BFB,UNASSIGNED,<RESERVED>..<RESERVED>
1BFC-1BFF,ID_DIS or FREE_PVAL,BATAK SYMBOL BINDU NA METEK..BATAK SYMBOL BINDU PANGOLAT
1C00-1C37,PVALID,LEPCHA LETTER KA..LEPCHA SIGN NUKTA
1C38-1C3A,UNASSIGNED,<RESERVED>..<RESERVED>
1C3B-1C3F,ID_DIS or FREE_PVAL,LEPCHA PUNCTUATION TA-ROL..LEPCHA PUNCTUATION TSHOOK
1C40-1C49,PVALID,LEPCHA DIGIT ZERO..LEPCHA DIGIT NINE
1C4A-1C4C,UNASSIGNED,<RESERVED>..<RESERVED>
1C4D-1C7D,PVALID,LEPCHA LETTER TTA..OL CHIKI AHAD
1C7E-1C7F,ID_DIS or FREE_PVAL,OL CHIKI PUNCTUATION MUCAAD..OL CHIKI PUNCTUATION DOUBLE MUCAAD
1C80-1C8A,PVALID,CYRILLIC SMALL LETTER ROUNDED VE..CYRILLIC SMALL LETTER TJE
1C8B-1C8F,UNASSIGNED,<RESERVED>..<RESERVED>
1C90-1CBA,PVALID,GEORGIAN MTAVRULI CAPITAL LETTER AN..GEORGIAN MTAVRULI CAPITAL LETTER AIN
1CBB-1CBC,UNASSIGNED,<RESERVED>..<RESERVED>
1CBD-1CBF,PVALID,GEORGIAN MTAVRULI CAPITAL LETTER AEN..GEORGIAN MTAVRULI CAPITAL LETTER LABIAL SIGN
1CC0-1CC7,ID_DIS or FREE_PVAL,SUNDANESE PUNCTUATION BINDU SURYA..SUNDANESE PUNCTUATION BINDU BA SATANGA
1CC8-1CCF,UNASSIGNED,<RESERVED>..<RESERVED>
1CD0-1CD2,PVALID,VEDIC TONE KARSHANA..VEDIC TONE PRENKHA
